visitor_id,visitor_type,step,timestamp,event_type,ride_name,queue_position,wait_time,details
P044,adventurer,87,2025-10-11T03:12:16.385280,joined_queue,Ride1,8,,"{""ride_name"": ""Ride1"", ""queue_position"": 8}"
P044,adventurer,94,2025-10-11T03:12:16.437744,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 94, ""ride_id"": ""Ride1"", ""queue_len"": 10, ""patience_at_leave"": 7}"
P044,adventurer,98,2025-10-11T03:12:16.470592,joined_queue,Ride1,10,,"{""ride_name"": ""Ride1"", ""queue_position"": 10}"
P044,adventurer,104,2025-10-11T03:12:16.546728,boarded_ride,Ride1,,6,"{""ride_name"": ""Ride1""}"
P044,adventurer,140,2025-10-11T03:12:16.884568,completed_ride,,,,"{""previous_ride"": ""Ride1""}"
P044,adventurer,168,2025-10-11T03:12:16.999006,departed,,,,"{""total_rides"": 7}"
P045,family,120,2025-10-11T03:12:16.668181,departed,,,,"{""total_rides"": 0}"
P046,impatient,85,2025-10-11T03:12:16.368432,departed,,,,"{""total_rides"": 0}"
P048,adventurer,35,2025-10-11T03:12:15.512292,joined_queue,Ride1,9,,"{""ride_name"": ""Ride1"", ""queue_position"": 9}"
P048,adventurer,46,2025-10-11T03:12:15.740720,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 46, ""ride_id"": ""Ride1"", ""queue_len"": 10, ""patience_at_leave"": 14}"
P048,adventurer,47,2025-10-11T03:12:15.762016,joined_queue,Ride1,10,,"{""ride_name"": ""Ride1"", ""queue_position"": 10}"
P048,adventurer,52,2025-10-11T03:12:15.873335,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 52, ""ride_id"": ""Ride1"", ""queue_len"": 10, ""patience_at_leave"": 14}"
P048,adventurer,64,2025-10-11T03:12:16.161925,boarded_ride,Ride1,,1,"{""ride_name"": ""Ride1""}"
P048,adventurer,99,2025-10-11T03:12:16.485349,completed_ride,,,,"{""previous_ride"": ""Ride1""}"
P048,adventurer,104,2025-10-11T03:12:16.546769,joined_queue,Ride1,10,,"{""ride_name"": ""Ride1"", ""queue_position"": 10}"
